"QB","RB","RB","WR","WR","WR","TE","FLEX","DEF","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","39577-72731:Josh Jacobs","39577-72731","RB","Josh","Josh Jacobs","Jacobs","15.433333079020182","6","7200","OAK@HOU","OAK","HOU","Q","Shoulder","","",""
"","","","","","","","","","","39577-6504:Drew Brees","39577-6504","QB","Drew","Drew Brees","Brees","11.15999984741211","2","7200","ARI@NO","NO","ARI","Q","Thumb","","",""
"","","","","","","","","","","39577-27050:Tyler Lockett","39577-27050","WR","Tyler","Tyler Lockett","Lockett","13.528570992606026","7","7200","SEA@ATL","SEA","ATL","","","","",""
"","","","","","","","","","","39577-14187:A.J. Green","39577-14187","WR","A.J.","A.J. Green","Green","14.044444613986546","9","7100","CIN@LAR","CIN","LAR","O","Ankle","","",""
"","","","","","","","","","","39577-28643:Allen Robinson II","39577-28643","WR","Allen","Allen Robinson II","Robinson II","14.15000025431315","6","7100","LAC@CHI","CHI","LAC","","","","",""
"","","","","","","","","","","39577-63519:Daniel Jones","39577-63519","QB","Daniel","Daniel Jones","Jones","13.143333435058594","6","7000","NYG@DET","NYG","DET","","","","",""
"","","","","","","","","","","39577-28181:Le'Veon Bell","39577-28181","RB","Le'Veon","Le'Veon Bell","Bell","12.766666412353516","6","7000","NYJ@JAC","NYJ","JAC","","","","",""
"","","","","","","","","","","39577-53095:Kyle Allen","39577-53095","QB","Kyle","Kyle Allen","Allen","14.15999984741211","4","7000","CAR@SF","CAR","SF","","","","",""
"","","","","","","","","","","39577-29685:Robert Woods","39577-29685","WR","Robert","Robert Woods","Woods","10.571428571428571","7","7000","CIN@LAR","LAR","CIN","","","","",""
"","","","","","","","","","","39577-61798:Gardner Minshew II","39577-61798","QB","Gardner","Gardner Minshew II","Minshew II","16.74000004359654","7","6900","NYJ@JAC","JAC","NYJ","","","","",""
"","","","","","","","","","","39577-39280:Derrick Henry","39577-39280","RB","Derrick","Derrick Henry","Henry","14.585714067731585","7","6900","TB@TEN","TEN","TB","","","","",""
"","","","","","","","","","","39577-21948:Ryan Tannehill","39577-21948","QB","Ryan","Ryan Tannehill","Tannehill","8.446666717529297","3","6900","TB@TEN","TEN","TB","","","","",""
"","","","","","","","","","","39577-45859:Derek Carr","39577-45859","QB","Derek","Derek Carr","Carr","13.516666412353516","6","6900","OAK@HOU","OAK","HOU","","","","",""
"","","","","","","","","","","39577-29501:Brandin Cooks","39577-29501","WR","Brandin","Brandin Cooks","Cooks","9.257143293108259","7","6900","CIN@LAR","LAR","CIN","","","","",""
"","","","","","","","","","","39577-39793:George Kittle","39577-39793","TE","George","George Kittle","Kittle","10.40000025431315","6","6900","CAR@SF","SF","CAR","","","","",""
"","","","","","","","","","","39577-14225:Andy Dalton","39577-14225","QB","Andy","Andy Dalton","Dalton","16.85999952043806","7","6900","CIN@LAR","CIN","LAR","","","","",""
"","","","","","","","","","","39577-62497:David Johnson","39577-62497","RB","David","David Johnson","Johnson","15.214285714285714","7","6800","ARI@NO","ARI","NO","Q","Ankle","","",""
"","","","","","","","","","","39577-80001:Austin Ekeler","39577-80001","RB","Austin","Austin Ekeler","Ekeler","19.442858014787948","7","6800","LAC@CHI","LAC","CHI","","","","",""
"","","","","","","","","","","39577-25011:Darren Waller","39577-25011","TE","Darren","Darren Waller","Waller","13.866666158040365","6","6800","OAK@HOU","OAK","HOU","","","","",""
"","","","","","","","","","","39577-57909:Marlon Mack","39577-57909","RB","Marlon","Marlon Mack","Mack","12.633333841959635","6","6800","DEN@IND","IND","DEN","","","","",""
"","","","","","","","","","","39577-63806:Kerryon Johnson","39577-63806","RB","Kerryon","Kerryon Johnson","Johnson","10.65000025431315","6","6700","NYG@DET","DET","NYG","IR","Knee","","",""
"","","","","","","","","","","39577-38628:Mitchell Trubisky","39577-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","11.131999969482422","5","6700","LAC@CHI","CHI","LAC","","","","",""
"","","","","","","","","","","39577-40845:Hunter Henry","39577-40845","TE","Hunter","Hunter Henry","Henry","15.566666920979818","3","6700","LAC@CHI","LAC","CHI","","","","",""
"","","","","","","","","","","39577-54244:Kenny Golladay","39577-54244","WR","Kenny","Kenny Golladay","Golladay","12.5","6","6700","NYG@DET","DET","NYG","","","","",""
"","","","","","","","","","","39577-40126:Austin Hooper","39577-40126","TE","Austin","Austin Hooper","Hooper","14.514285496303014","7","6600","SEA@ATL","ATL","SEA","","","","",""
"","","","","","","","","","","39577-73048:DK Metcalf","39577-73048","WR","DK","DK Metcalf","Metcalf","8.47142846243722","7","6600","SEA@ATL","SEA","ATL","","","","",""
"","","","","","","","","","","39577-21980:Alshon Jeffery","39577-21980","WR","Alshon","Alshon Jeffery","Jeffery","12.5","5","6600","PHI@BUF","PHI","BUF","","","","",""
"","","","","","","","","","","39577-6679:Matt Schaub","39577-6679","QB","Matt","Matt Schaub","Schaub","6.5","1","6600","SEA@ATL","ATL","SEA","","","","",""
"","","","","","","","","","","39577-7859:Julian Edelman","39577-7859","WR","Julian","Julian Edelman","Edelman","12.611428397042411","7","6600","CLE@NE","NE","CLE","Q","Chest","","",""
"","","","","","","","","","","39577-53640:Sony Michel","39577-53640","RB","Sony","Sony Michel","Michel","11.585714067731585","7","6500","CLE@NE","NE","CLE","","","","",""
"","","","","","","","","","","39577-6714:Joe Flacco","39577-6714","QB","Joe","Joe Flacco","Flacco","11.717142377580915","7","6500","DEN@IND","DEN","IND","","","","",""
"","","","","","","","","","","39577-27477:Sterling Shepard","39577-27477","WR","Sterling","Sterling Shepard","Shepard","12.850000381469727","4","6500","NYG@DET","NYG","DET","O","Concussion","","",""
"","","","","","","","","","","39577-28900:Melvin Gordon III","39577-28900","RB","Melvin","Melvin Gordon III","Gordon III","6.666666666666667","3","6400","LAC@CHI","LAC","CHI","","","","",""
"","","","","","","","","","","39577-31394:Jarvis Landry","39577-31394","WR","Jarvis","Jarvis Landry","Landry","9.566666920979818","6","6400","CLE@NE","CLE","NE","","","","",""
"","","","","","","","","","","39577-42028:Will Fuller V","39577-42028","WR","Will","Will Fuller V","Fuller V","11.428571428571429","7","6300","OAK@HOU","HOU","OAK","O","Hamstring","","",""
"","","","","","","","","","","39577-29780:Zach Ertz","39577-29780","TE","Zach","Zach Ertz","Ertz","9.12857164655413","7","6300","PHI@BUF","PHI","BUF","","","","",""
"","","","","","","","","","","39577-41426:Phillip Lindsay","39577-41426","RB","Phillip","Phillip Lindsay","Lindsay","13.085714067731585","7","6300","DEN@IND","DEN","IND","","","","",""
"","","","","","","","","","","39577-6739:DeSean Jackson","39577-6739","WR","DeSean","DeSean Jackson","Jackson","31.399999618530273","1","6300","PHI@BUF","PHI","BUF","O","Abdomen","","",""
"","","","","","","","","","","39577-22103:Marvin Jones Jr.","39577-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","14.016666412353516","6","6300","NYG@DET","DET","NYG","","","","",""
"","","","","","","","","","","39577-29358:Marcus Mariota","39577-29358","QB","Marcus","Marcus Mariota","Mariota","14.343332926432291","6","6300","TB@TEN","TEN","TB","","","","",""
"","","","","","","","","","","39577-52917:DJ Chark Jr.","39577-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","15.228571210588727","7","6300","NYJ@JAC","JAC","NYJ","","","","",""
"","","","","","","","","","","39577-41872:Evan Engram","39577-41872","TE","Evan","Evan Engram","Engram","11.233333587646484","6","6300","NYG@DET","NYG","DET","","","","",""
"","","","","","","","","","","39577-27776:Tevin Coleman","39577-27776","RB","Tevin","Tevin Coleman","Coleman","10.625","4","6200","CAR@SF","SF","CAR","","","","",""
